observed_at,bar_start,bar_end,bar_timeframe,pair,close,buy_volume,sell_volume,volume,delta,delta_direction,speed_score,prior_speed_score,speed_change_pct,speed_change_ratio,speed_lifecycle,eligible_for_paper_entry,flow_ready,flow_reason,record_type,source_event_key,delta_norm
2026-08-13T07:00:39.330061+00:00,1786604100,1786604400,5m,XRP/USD,1.0137,11356.583123900002,242.90011195,11599.48323585,11113.683011950001,UP,0.958118804603419,0.24465711961682057,291.616972399583,3.91616972399583,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,XRP/USD|5m|1786604100,0.9581188
2026-08-13T07:05:13.334407+00:00,1786604400,1786604700,5m,SOL/USD,76.36,31.34107461,2.60542588,33.94650049,28.73564873,UP,0.8464981166015915,0.4302296267601097,96.75495687645602,1.96754956876456,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,SOL/USD|5m|1786604400,0.84649812
2026-08-13T07:06:14.288623+00:00,1786604400,1786604700,5m,AVAX/USD,6.527,198.66326552,4.30731986,202.97058538,194.35594566,UP,0.9575572011881834,0.5040663543118041,89.96649806066209,1.8996649806066208,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,AVAX/USD|5m|1786604400,0.9575572
2026-08-13T07:10:48.324064+00:00,1786604700,1786605000,5m,XRP/USD,1.01337,1322.3154240000001,0.0,1322.315424,1322.3154240000001,UP,1.0000000000000002,0.5855053399994212,70.79263529876408,1.707926352987641,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,XRP/USD|5m|1786604700,1.0
2026-08-13T07:11:03.570964+00:00,1786604700,1786605000,5m,DOGE/USD,0.0707253,18738.119611950002,193155.66988401,211893.78949596,-174417.55027206,DOWN,0.8231366794041195,0.2892134342625489,184.61218667210088,2.846121866721009,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOGE/USD|5m|1786604700,0.82313668
2026-08-13T07:11:03.570980+00:00,1786604700,1786605000,5m,LINK/USD,8.7547,26.63605085,0.0,26.63605085,26.63605085,UP,1.0,0.7170863364936314,39.4532218937184,1.394532218937184,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,LINK/USD|5m|1786604700,1.0
2026-08-13T07:11:03.571010+00:00,1786604700,1786605000,5m,DOT/USD,0.7746,0.0,3.91187544,3.91187544,-3.91187544,DOWN,1.0,0.00024987451858351334,400100.8710887336,4002.0087108873363,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOT/USD|5m|1786604700,1.0
2026-08-13T07:15:22.359848+00:00,1786605000,1786605300,5m,SOL/USD,76.35,708.7380087700001,0.38615631,709.12416508,708.35185246,UP,0.998910892255501,0.1687593191761435,491.914507081462,5.91914507081462,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,SOL/USD|5m|1786605000,0.99891089
2026-08-13T07:15:37.608753+00:00,1786605000,1786605300,5m,ETH/USD,1895.11,2.18316283,0.00329621,2.18645904,2.1798666200000003,UP,0.9969848874918784,0.64544634195998,54.46441054486527,1.5446441054486526,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ETH/USD|5m|1786605000,0.99698489
2026-08-13T07:20:11.658343+00:00,1786605300,1786605600,5m,BTC/USD,63806.4,0.7176685800000001,0.031435410000000004,0.74910399,0.6862331700000001,UP,0.9160719728645418,0.48127171517801726,90.34402894957094,1.9034402894957094,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,BTC/USD|5m|1786605300,0.91607197
